SMILES,pIC50,pIC50-min,pIC50-max
COC(=O)c1c(N)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.28,5.281498311132726,5.281498311132726
COC(=O)c1c(Nc2ccccc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.21,5.210419287835574,5.210419287835574
COC(=O)c1c(Nc2ccc(C)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.42,5.423658649794207,5.423658649794207
COC(=O)c1c(Nc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.33,5.326979092871104,5.326979092871104
COC(=O)c1c(Nc2ccc(Cl)c(Cl)c2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.31,5.3124710387853655,5.3124710387853655
COC(=O)c1c(NCc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.36,5.363512103646634,5.363512103646634
COC(=O)c1c(N2CCCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.26,5.259637310505756,5.259637310505756
COC(=O)c1c(NC2CCCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.39,5.391473966422806,5.391473966422806
COC(=O)c1c(N2CCOCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.43,5.427128397799519,5.427128397799519
COC(=O)c1c(NC2CCCC2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.34,5.336299074610352,5.336299074610352
CCCCOC(=O)c1c(NCc2ccc(OC)cc2)c(=O)c(O)c2oc3cc(ccc3nc12)N(C)C,5.47,5.471083299722345,5.471083299722345
