SMILES,Unit,Qualifier,Unit_Source
CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,nM,>,original
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,nM,>,original
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,nM,>,original
CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,nM,>,original
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,nM,>,original
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,nM,>,original
CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,nM,>,original
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,nM,=,original
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,=,original
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,=,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,nM,=,original
CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1=C(C=C(C=C1)CC(=O)O)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5,nM,=,original
CN(C)C1(CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Cl)CCOC4=CC(=CC(=C4)CC(=O)O)Cl,nM,>,original
CC1=CC(=CC(=C1)OCCC2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)N5CCCC5)CC(=O)O,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCCN(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCC(CC1)C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=C(C=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CCN(C1)C2(CCN(CC2)C3=NC4=C(S3)N=C(C=C4)C(F)(F)F)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
CC1CCCN1C2(CCN(CC2)C3=NC4=C(S3)C=C(C=C4)Cl)CCOC5=CC(=CC(=C5)CC(=O)O)Cl,nM,>,original
C1CN(CCC1(CCOC2=CC(=CC(=C2)CC(=O)O)Cl)N3CCOCC3)C4=NC5=C(S4)C=C(C=C5)C(F)(F)F,nM,>,original
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,nM,=,original
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,nM,=,original
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,nM,=,original
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,nM,=,original
CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F,nM,=,original
